config,ctx_tokens,prefill_tps,gen_tps,delta_prefill_vs_baseline
baseline,2048,456.19,36.67,0.00
baseline,8192,405.16,30.54,0.00
baseline_legacy_moe_flash,2048,446.83,33.75,-9.36
baseline_legacy_moe_flash,8192,329.15,27.85,-76.01
full,2048,663.09,33.53,206.90
full,8192,435.33,27.33,30.17
no_flash_nwg64,2048,663.35,35.41,207.16
no_flash_nwg64,8192,441.35,27.53,36.19
no_moe_gate_up_pair,2048,661.27,35.57,205.08
no_moe_gate_up_pair,8192,444.46,27.55,39.30
no_moe_wide_tiles,2048,446.75,32.63,-9.44
no_moe_wide_tiles,8192,326.51,27.44,-78.65
only_flash_nwg64,2048,467.09,34.50,10.90
only_flash_nwg64,8192,316.53,26.95,-88.63
only_moe_gate_up_pair,2048,436.29,37.26,-19.90
only_moe_gate_up_pair,8192,345.80,28.84,-59.36
only_moe_wide_tiles,2048,660.65,36.46,204.46
only_moe_wide_tiles,8192,489.57,30.79,84.41
