config,ctx_tokens,prefill_tps,gen_tps,kvcache_bytes
baseline,2048,456.19,36.67,52184460
baseline,8192,405.16,30.54,136750476
only_moe_wide_tiles,2048,660.65,36.46,52184460
only_moe_wide_tiles,8192,489.57,30.79,136750476
only_moe_gate_up_pair,2048,436.29,37.26,52184460
only_moe_gate_up_pair,8192,345.80,28.84,136750476
only_flash_nwg64,2048,467.09,34.50,52184460
only_flash_nwg64,8192,316.53,26.95,136750476
full,2048,663.09,33.53,52184460
full,8192,435.33,27.33,136750476
no_moe_wide_tiles,2048,446.75,32.63,52184460
no_moe_wide_tiles,8192,326.51,27.44,136750476
no_moe_gate_up_pair,2048,661.27,35.57,52184460
no_moe_gate_up_pair,8192,444.46,27.55,136750476
no_flash_nwg64,2048,663.35,35.41,52184460
no_flash_nwg64,8192,441.35,27.53,136750476
baseline_legacy_moe_flash,2048,446.83,33.75,52184460
baseline_legacy_moe_flash,8192,329.15,27.85,136750476
